COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,DRUG_NAME,LN_IC50,AUC,Z_SCORE,GDSC Tissue descriptor 1,GDSC Tissue descriptor 2,Cancer Type (matching TCGA label),Microsatellite instability Status (MSI),Screen Medium,Growth Properties,CNA,Gene Expression,Methylation,TARGET,TARGET_PATHWAY
687798,NCI-H1623,LUAD,1003,Camptothecin,-4.135944,0.687601,-1.021727,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687799,NCI-H1648,LUAD,1003,Camptothecin,-1.962265,0.879493,0.161773,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687800,NCI-H1650,LUAD,1003,Camptothecin,0.133024,0.936097,1.302591,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687802,NCI-H1693,LUAD,1003,Camptothecin,0.121965,0.916035,1.29657,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687804,NCI-H1770,UNCLASSIFIED,1003,Camptothecin,-0.675672,0.974312,0.862281,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Suspension,Y,Y,Y,TOP1,DNA replication
687807,NCI-H1838,LUAD,1003,Camptothecin,0.690985,0.950028,1.606383,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687812,NCI-H2085,LUAD,1003,Camptothecin,0.578666,0.968261,1.545229,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687815,NCI-H2170,LUSC,1003,Camptothecin,-3.956193,0.715237,-0.923858,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687816,NCI-H2228,LUAD,1003,Camptothecin,-2.713363,0.790723,-0.247177,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687819,NCI-H2342,LUAD,1003,Camptothecin,-0.116285,0.95567,1.16685,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687820,NCI-H2347,LUAD,1003,Camptothecin,0.387214,0.923532,1.44099,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687821,NCI-H2405,LUAD,1003,Camptothecin,-0.550942,0.876136,0.930193,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687829,NCI-H661,UNCLASSIFIED,1003,Camptothecin,-0.595181,0.948687,0.906106,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
687980,COR-L311,SCLC,1003,Camptothecin,-4.507048,0.663973,-1.223781,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
687983,DMS-114,SCLC,1003,Camptothecin,-1.097768,0.93433,0.632464,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687985,DMS-273,SCLC,1003,Camptothecin,-2.648304,0.846017,-0.211754,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687995,NCI-H1048,SCLC,1003,Camptothecin,-4.366197,0.675757,-1.147092,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSI-H,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
687997,NCI-H1092,SCLC,1003,Camptothecin,-0.639442,0.942249,0.882008,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,Y,Y,Y,TOP1,DNA replication
688006,NCI-H1694,SCLC,1003,Camptothecin,-3.842493,0.74094,-0.861952,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,Y,Y,Y,TOP1,DNA replication
688010,NCI-H1963,SCLC,1003,Camptothecin,-3.298397,0.797327,-0.565709,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
688011,NCI-H2029,SCLC,1003,Camptothecin,-1.771595,0.919813,0.265586,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
688013,NCI-H209,SCLC,1003,Camptothecin,-5.422095,0.544531,-1.721995,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
688014,NCI-H2141,SCLC,1003,Camptothecin,-1.400353,0.910254,0.467716,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,Y,Y,Y,TOP1,DNA replication
688015,NCI-H2171,SCLC,1003,Camptothecin,-4.038664,0.738768,-0.968761,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,Y,N,Y,TOP1,DNA replication
688018,NCI-H2227,SCLC,1003,Camptothecin,-3.735166,0.716138,-0.803516,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,Y,Y,Y,TOP1,DNA replication
688021,NCI-H345,SCLC,1003,Camptothecin,1.049561,0.968523,1.801616,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,Y,Y,Y,TOP1,DNA replication
688023,NCI-H446,SCLC,1003,Camptothecin,-2.29506,0.880633,-0.019424,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,Y,Y,Y,TOP1,DNA replication
688025,NCI-H526,SCLC,1003,Camptothecin,-4.845675,0.623258,-1.408153,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
688026,NCI-H64,SCLC,1003,Camptothecin,-0.279995,0.95309,1.077715,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
688027,NCI-H69,SCLC,1003,Camptothecin,-1.457202,0.918071,0.436763,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
688031,NCI-H82,SCLC,1003,Camptothecin,-2.797081,0.858228,-0.292758,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
688058,NCI-H2052,MESO,1003,Camptothecin,-2.287052,0.846196,-0.015064,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
688086,SK-N-DZ,NB,1003,Camptothecin,-3.703295,0.757838,-0.786163,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
688087,SK-N-FI,NB,1003,Camptothecin,-1.894433,0.890403,0.198705,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
688121,VA-ES-BJ,UNCLASSIFIED,1003,Camptothecin,-3.40744,0.74892,-0.62508,soft_tissue,soft_tissue_other,,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
713869,VMRC-LCD,LUAD,1003,Camptothecin,0.92042,0.975567,1.731303,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,,D/F12,Adherent,Y,Y,N,TOP1,DNA replication
713878,LU-139,SCLC,1003,Camptothecin,-2.334375,0.869945,-0.04083,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
713880,SBC-5,SCLC,1003,Camptothecin,-3.46312,0.788549,-0.655396,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
713885,SBC-1,SCLC,1003,Camptothecin,-1.781323,0.899554,0.26029,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
713899,LU-135,SCLC,1003,Camptothecin,-3.065966,0.818071,-0.439158,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
717431,SK-N-SH,NB,1003,Camptothecin,-4.350184,0.665806,-1.138374,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
722045,NCI-H2030,LUAD,1003,Camptothecin,0.079116,0.950956,1.27324,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
722046,NCI-H2122,LUAD,1003,Camptothecin,-2.905689,0.840786,-0.351892,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
722058,NCI-H1734,LUAD,1003,Camptothecin,-4.054426,0.724761,-0.977343,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
722066,NCI-H650,LUAD,1003,Camptothecin,-2.659748,0.85438,-0.217985,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724812,T24,BLCA,1003,Camptothecin,-2.717354,0.829922,-0.24935,,,,,,,,,,TOP1,DNA replication
724825,NCI-H929,MM,1003,Camptothecin,-3.516343,0.786512,-0.684374,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
724828,SK-N-AS,NB,1003,Camptothecin,-1.949012,0.870822,0.168988,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724831,NCI-H1299,UNCLASSIFIED,1003,Camptothecin,-1.936672,0.872933,0.175707,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
724834,NCI-H2087,LUAD,1003,Camptothecin,-2.692533,0.807248,-0.235835,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Semi-Adherent,Y,Y,Y,TOP1,DNA replication
724838,UM-UC-3,BLCA,1003,Camptothecin,-3.731846,0.740045,-0.801708,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724839,SW756,CESC,1003,Camptothecin,-2.675867,0.801782,-0.226761,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724855,NCI-H727,UNCLASSIFIED,1003,Camptothecin,1.058316,0.964542,1.806383,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
724859,Calu-6,LUAD,1003,Camptothecin,-1.928528,0.854228,0.180141,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724863,LU-65,UNCLASSIFIED,1003,Camptothecin,-2.260707,0.834818,-0.00072,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
724866,NCI-H1355,LUAD,1003,Camptothecin,0.686028,0.951427,1.603684,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724868,NCI-H1792,LUAD,1003,Camptothecin,-3.232333,0.806679,-0.529739,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
724869,HPAF-II,PAAD,1003,Camptothecin,-0.19337,0.939734,1.12488,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724870,MIA-PaCa-2,PAAD,1003,Camptothecin,-2.919871,0.820641,-0.359614,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724872,SHP-77,SCLC,1003,Camptothecin,-1.346215,0.947372,0.497192,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,Y,Y,N,TOP1,DNA replication
724873,NCI-H2009,LUAD,1003,Camptothecin,-2.622641,0.830233,-0.197781,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
724874,NCI-H2291,LUAD,1003,Camptothecin,0.492346,0.93215,1.498231,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
724878,SW1573,LUAD,1003,Camptothecin,-2.525462,0.801945,-0.144871,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
735784,TE-5,ESCA,1003,Camptothecin,-2.5565,0.834178,-0.16177,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
749709,HCC1954,BRCA,1003,Camptothecin,0.317741,0.983262,1.403164,breast,breast,BRCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
749710,HCC1143,BRCA,1003,Camptothecin,0.636184,0.96905,1.576546,breast,breast,BRCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
749711,HCC1187,BRCA,1003,Camptothecin,1.235544,0.992326,1.902878,breast,breast,BRCA,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
749712,HCC1395,BRCA,1003,Camptothecin,-2.255899,0.861208,0.001898,breast,breast,BRCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
749713,HCC1599,BRCA,1003,Camptothecin,-3.247021,0.768404,-0.537737,breast,breast,BRCA,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
749714,HCC1937,BRCA,1003,Camptothecin,0.134454,0.955345,1.303369,breast,breast,BRCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
749715,HCC2157,BRCA,1003,Camptothecin,-2.655609,0.872641,-0.215731,breast,breast,BRCA,MSS/MSI-L,D/F12,Suspension,Y,Y,Y,TOP1,DNA replication
749716,HCC2218,BRCA,1003,Camptothecin,1.057382,0.993497,1.805874,breast,breast,BRCA,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
749717,HCC38,BRCA,1003,Camptothecin,-1.699764,0.88698,0.304696,breast,breast,BRCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
753531,BB30-HNC,HNSC,1003,Camptothecin,-4.016599,0.72932,-0.956747,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753532,BB49-HNC,HNSC,1003,Camptothecin,-2.02428,0.867884,0.128007,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753533,BB65-RCC,KIRC,1003,Camptothecin,-2.03641,0.894111,0.121403,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753534,BEN,UNCLASSIFIED,1003,Camptothecin,0.392462,0.954286,1.443847,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753535,BHY,HNSC,1003,Camptothecin,-2.08115,0.872193,0.097043,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753538,Ca9-22,HNSC,1003,Camptothecin,-3.523805,0.764404,-0.688436,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753539,CADO-ES1,UNCLASSIFIED,1003,Camptothecin,-5.04439,0.594983,-1.516347,bone,ewings_sarcoma,,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
753540,CAL-12T,UNCLASSIFIED,1003,Camptothecin,-0.76926,0.946527,0.811326,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753541,CAL-33,HNSC,1003,Camptothecin,-3.711201,0.746475,-0.790468,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753545,CP50-MEL-B,SKCM,1003,Camptothecin,-2.036014,0.897751,0.121619,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753546,CP66-MEL,SKCM,1003,Camptothecin,-0.692388,0.929116,0.85318,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753547,CPC-N,SCLC,1003,Camptothecin,-1.508312,0.934735,0.408936,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
753548,CTV-1,LAML,1003,Camptothecin,-4.324457,0.701034,-1.124366,leukemia,acute_myeloid_leukaemia,LAML,MSI-H,R,Suspension,Y,Y,Y,TOP1,DNA replication
753549,D-542MG,GBM,1003,Camptothecin,0.839414,0.966676,1.687198,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753551,DMS-79,SCLC,1003,Camptothecin,-3.955395,0.729339,-0.923424,lung_SCLC,lung_small_cell_carcinoma,SCLC,,R,Suspension,Y,Y,Y,TOP1,DNA replication
753552,DSH1,BLCA,1003,Camptothecin,-2.936428,0.804604,-0.368629,urogenital_system,Bladder,BLCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
753554,EBC-1,LUSC,1003,Camptothecin,-4.232911,0.674573,-1.074522,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753555,EC-GI-10,ESCA,1003,Camptothecin,-3.126011,0.80502,-0.47185,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753556,EPLC-272H,LUSC,1003,Camptothecin,-0.478973,0.947027,0.969378,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
753558,HA7-RCC,KIRC,1003,Camptothecin,-2.76442,0.820552,-0.274975,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753559,HCE-4,ESCA,1003,Camptothecin,-3.535898,0.778827,-0.695021,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753561,HO-1-u-1,HNSC,1003,Camptothecin,-1.71744,0.903043,0.295072,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753562,HSC-2,HNSC,1003,Camptothecin,-4.33613,0.681448,-1.130722,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753563,IM-9,MM,1003,Camptothecin,-5.302441,0.563406,-1.656848,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
753564,IST-SL1,SCLC,1003,Camptothecin,-2.067312,0.93109,0.104578,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Semi-Adherent,Y,Y,Y,TOP1,DNA replication
753565,IST-SL2,SCLC,1003,Camptothecin,-4.325806,0.674458,-1.125101,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,Y,Y,Y,TOP1,DNA replication
753566,J82,BLCA,1003,Camptothecin,-3.044853,0.790187,-0.427662,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753569,KNS-62,LUSC,1003,Camptothecin,-1.864321,0.892726,0.2151,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753570,KOSC-2,HNSC,1003,Camptothecin,-3.099968,0.818146,-0.457671,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
753572,KP-4,PAAD,1003,Camptothecin,-3.278772,0.805844,-0.555024,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,Y,Y,Y,TOP1,DNA replication
753573,KYSE-140,ESCA,1003,Camptothecin,-0.405425,0.96067,1.009423,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
753574,KYSE-410,ESCA,1003,Camptothecin,0.597602,0.944848,1.555539,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
753575,KYSE-520,ESCA,1003,Camptothecin,1.801564,0.967261,2.211058,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,Y,Y,Y,TOP1,DNA replication
